Impuesto específico,Año,Valor,Impuesto,Agregación,Impuesto_alt,Índice,Valor (Constantes - 18)
Renta cuotas,1970,5419.0,Renta,Actividad interna,Renta,0.12,4515833.333333334
Retención en la fuente a título de renta,1970,539.0,Renta,Actividad interna,Renta,0.12,449166.6666666667
Declaraciones IVA,1970,1000.0,IVA,Actividad interna,IVA,0.12,833333.3333333334
Retención en la fuente a título de IVA,1970,0.0,IVA,Actividad interna,IVA,0.12,0.0
Timbre nacional,1970,599.0,Timbre nacional,Actividad interna,Otros,0.12,499166.6666666667
G.M.F.,1970,0.0,G.M.F.,Actividad interna,Otros,0.12,0.0
Patrimonio,1970,0.0,Patrimonio,Actividad interna,Otros,0.12,0.0
Riqueza,1970,0.0,Riqueza,Actividad interna,Otros,0.12,0.0
Impuesto al consumo,1970,0.0,Impuesto al consumo,Actividad interna,Otros,0.12,0.0
Impuesto gasolina y ACPM,1970,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.12,0.0
Impuesto al carbono,1970,0.0,Impuesto al carbono,Actividad interna,Otros,0.12,0.0
Declaraciones CREE,1970,0.0,CREE,Actividad interna,Otros,0.12,0.0
Retención CREE,1970,0.0,CREE,Actividad interna,Otros,0.12,0.0
Impuesto unificado RST (Simple),1970,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.12,0.0
Impuesto de normalización tributaria,1970,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.12,0.0
Consumo bienes inmuebles,1970,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.12,0.0
Productos plásticos de un solo uso,1970,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.12,0.0
Impuestos saludables - Bebidas azucaradas,1970,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.12,0.0
Impuestos saludables - Comestibles ultraprocesados,1970,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.12,0.0
IVA_ext,1970,74.0,IVA,Actividad externa,IVA,0.12,61666.66666666667
Arancel,1970,3681.0,Arancel,Actividad externa,Otros,0.12,3067500.0000000005
Por clasificar,1970,0.0,Por clasificar,Por clasificar,Otros,0.12,0.0
Renta cuotas,1971,6122.0,Renta,Actividad interna,Renta,0.14,4372857.142857142
Retención en la fuente a título de renta,1971,818.0,Renta,Actividad interna,Renta,0.14,584285.7142857142
Declaraciones IVA,1971,1338.0,IVA,Actividad interna,IVA,0.14,955714.2857142856
Retención en la fuente a título de IVA,1971,0.0,IVA,Actividad interna,IVA,0.14,0.0
Timbre nacional,1971,876.0,Timbre nacional,Actividad interna,Otros,0.14,625714.2857142857
G.M.F.,1971,0.0,G.M.F.,Actividad interna,Otros,0.14,0.0
Patrimonio,1971,0.0,Patrimonio,Actividad interna,Otros,0.14,0.0
Riqueza,1971,0.0,Riqueza,Actividad interna,Otros,0.14,0.0
Impuesto al consumo,1971,0.0,Impuesto al consumo,Actividad interna,Otros,0.14,0.0
Impuesto gasolina y ACPM,1971,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.14,0.0
Impuesto al carbono,1971,0.0,Impuesto al carbono,Actividad interna,Otros,0.14,0.0
Declaraciones CREE,1971,0.0,CREE,Actividad interna,Otros,0.14,0.0
Retención CREE,1971,0.0,CREE,Actividad interna,Otros,0.14,0.0
Impuesto unificado RST (Simple),1971,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.14,0.0
Impuesto de normalización tributaria,1971,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.14,0.0
Consumo bienes inmuebles,1971,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.14,0.0
Productos plásticos de un solo uso,1971,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.14,0.0
Impuestos saludables - Bebidas azucaradas,1971,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.14,0.0
Impuestos saludables - Comestibles ultraprocesados,1971,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.14,0.0
IVA_ext,1971,344.0,IVA,Actividad externa,IVA,0.14,245714.28571428568
Arancel,1971,4045.0,Arancel,Actividad externa,Otros,0.14,2889285.714285714
Por clasificar,1971,0.0,Por clasificar,Por clasificar,Otros,0.14,0.0
Renta cuotas,1972,6862.0,Renta,Actividad interna,Renta,0.16,4288750.0
Retención en la fuente a título de renta,1972,1159.0,Renta,Actividad interna,Renta,0.16,724375.0
Declaraciones IVA,1972,1447.0,IVA,Actividad interna,IVA,0.16,904375.0
Retención en la fuente a título de IVA,1972,0.0,IVA,Actividad interna,IVA,0.16,0.0
Timbre nacional,1972,1040.0,Timbre nacional,Actividad interna,Otros,0.16,650000.0
G.M.F.,1972,0.0,G.M.F.,Actividad interna,Otros,0.16,0.0
Patrimonio,1972,0.0,Patrimonio,Actividad interna,Otros,0.16,0.0
Riqueza,1972,0.0,Riqueza,Actividad interna,Otros,0.16,0.0
Impuesto al consumo,1972,0.0,Impuesto al consumo,Actividad interna,Otros,0.16,0.0
Impuesto gasolina y ACPM,1972,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.16,0.0
Impuesto al carbono,1972,0.0,Impuesto al carbono,Actividad interna,Otros,0.16,0.0
Declaraciones CREE,1972,0.0,CREE,Actividad interna,Otros,0.16,0.0
Retención CREE,1972,0.0,CREE,Actividad interna,Otros,0.16,0.0
Impuesto unificado RST (Simple),1972,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.16,0.0
Impuesto de normalización tributaria,1972,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.16,0.0
Consumo bienes inmuebles,1972,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.16,0.0
Productos plásticos de un solo uso,1972,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.16,0.0
Impuestos saludables - Bebidas azucaradas,1972,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.16,0.0
Impuestos saludables - Comestibles ultraprocesados,1972,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.16,0.0
IVA_ext,1972,548.0,IVA,Actividad externa,IVA,0.16,342500.0
Arancel,1972,4534.0,Arancel,Actividad externa,Otros,0.16,2833750.0
Por clasificar,1972,0.0,Por clasificar,Por clasificar,Otros,0.16,0.0
Renta cuotas,1973,7528.0,Renta,Actividad interna,Renta,0.19,3962105.263157895
Retención en la fuente a título de renta,1973,1522.0,Renta,Actividad interna,Renta,0.19,801052.6315789474
Declaraciones IVA,1973,1686.0,IVA,Actividad interna,IVA,0.19,887368.4210526316
Retención en la fuente a título de IVA,1973,0.0,IVA,Actividad interna,IVA,0.19,0.0
Timbre nacional,1973,1375.0,Timbre nacional,Actividad interna,Otros,0.19,723684.2105263158
G.M.F.,1973,0.0,G.M.F.,Actividad interna,Otros,0.19,0.0
Patrimonio,1973,0.0,Patrimonio,Actividad interna,Otros,0.19,0.0
Riqueza,1973,0.0,Riqueza,Actividad interna,Otros,0.19,0.0
Impuesto al consumo,1973,0.0,Impuesto al consumo,Actividad interna,Otros,0.19,0.0
Impuesto gasolina y ACPM,1973,0.0,Impuesto gasolina y ACPM,Actividad interna,Otros,0.19,0.0
Impuesto al carbono,1973,0.0,Impuesto al carbono,Actividad interna,Otros,0.19,0.0
Declaraciones CREE,1973,0.0,CREE,Actividad interna,Otros,0.19,0.0
Retención CREE,1973,0.0,CREE,Actividad interna,Otros,0.19,0.0
Impuesto unificado RST (Simple),1973,0.0,Impuesto unificado RST (Simple),Actividad interna,Otros,0.19,0.0
Impuesto de normalización tributaria,1973,0.0,Impuesto de normalización tributaria,Actividad interna,Otros,0.19,0.0
Consumo bienes inmuebles,1973,0.0,Consumo bienes inmuebles,Actividad interna,Otros,0.19,0.0
Productos plásticos de un solo uso,1973,0.0,Productos plásticos de un solo uso,Actividad interna,Otros,0.19,0.0
Impuestos saludables - Bebidas azucaradas,1973,0.0,Impuestos saludables - Bebidas azucaradas,Actividad interna,Otros,0.19,0.0
Impuestos saludables - Comestibles ultraprocesados,1973,0.0,Impuestos saludables - Comestibles ultraprocesados,Actividad interna,Otros,0.19,0.0
IVA_ext,1973,774.0,IVA,Actividad externa,IVA,0.19,407368.4210526316
Arancel,1973,6156.0,Arancel,Actividad externa,Otros,0.19,3240000.0
