ACTIVIDAD INTERNA,Renta y complementarios /1,Renta cuotas,Retención en la fuente a título de renta /2,IVA_IN,Declaraciones IVA,Retención en la fuente a título de IVA,Timbre nacional,G.M.F.,Patrimonio /3,Riqueza /4,Impuesto al consumo /5,Impuesto gasolina y ACPM,Impuesto al carbono /6,CREE,Declaraciones CREE /7,Retención CREE,Impuesto unificado RST (Simple)  /8,Impuesto de normalización tributaria /9,Consumo bienes inmuebles /10,Productos plásticos de un solo uso /11,Impuestos saludables - Bebidas azucaradas /12,Impuestos saludables - Comestibles ultraprocesados /13,ACTIVIDAD EXTERNA,IVA_EX,Arancel /14,Por identificar,Total,Año
6297500.000000001,4965000.0,4515833.333333334,449166.6666666667,833333.3333333334,833333.3333333334,,499166.6666666667,,,,,,,,,,,,,,,,3129166.666666667,61666.66666666667,3067500.0000000005,,9426666.666666668,1970
6538571.428571427,4957142.857142856,4372857.142857142,584285.7142857142,955714.2857142856,955714.2857142856,,625714.2857142857,,,,,,,,,,,,,,,,3134999.9999999995,245714.28571428568,2889285.714285714,,9673571.428571427,1971
6567500.0,5013125.0,4288750.0,724375.0,904375.0,904375.0,,650000.0,,,,,,,,,,,,,,,,3176250.0,342500.0,2833750.0,,9743750.0,1972
6374210.52631579,4763157.894736842,3962105.263157895,801052.6315789474,887368.4210526316,887368.4210526316,,723684.2105263158,,,,,,,,,,,,,,,,3647368.4210526315,407368.4210526316,3240000.0,,10021578.94736842,1973
6192400.0,4454000.0,3598400.0,855600.0,1022000.0,1022000.0,,716400.0,,,,,,,,,,,,,,,,3609600.0,556000.0,3053600.0,,9802000.0,1974
8671379.310344828,6315517.24137931,5414482.75862069,901034.4827586208,1784137.9310344828,1784137.9310344828,,571724.1379310346,,,,,,,,,,,,,,,,4159655.1724137934,891034.4827586208,3268620.6896551726,,12831034.48275862,1975
8059444.444444445,5769166.666666667,3041666.666666667,2727500.0,1804722.2222222222,1804722.2222222222,,485555.55555555556,,,,,,,,,,,,,,,,4791944.444444445,990000.0,3801944.4444444445,,12851388.88888889,1976
7384680.851063831,5146382.978723405,4215531.914893618,930851.0638297874,1775319.1489361704,1775319.1489361704,,462978.7234042554,,,,,,,,,,,,,,,,5137021.276595745,1086595.7446808512,4050425.531914894,,12521702.127659576,1977
7982857.142857142,5478035.714285714,4475535.714285714,1002499.9999999999,1991249.9999999998,1991249.9999999998,,513571.4285714285,,,,,,,,,,,,,,,,5180535.714285714,1340357.1428571427,3840178.571428571,,13163392.857142854,1978
7946805.555555556,5345138.888888889,4138750.0,1206388.888888889,2160555.5555555555,2160555.5555555555,,441111.1111111111,,,,,,,,,,,,,,,,4835972.222222222,1297500.0,3538472.2222222225,,12782777.777777778,1979
8004999.999999999,5368666.666666666,3904777.7777777775,1463888.8888888888,2084222.222222222,2084222.222222222,,552111.111111111,,,,,,,,,,,,,,,,5592444.444444444,1645111.111111111,3947333.333333333,,13597444.444444442,1980
7489824.561403509,4800526.315789474,3388859.649122807,1411666.6666666667,2255526.315789474,2255526.315789474,,433771.92982456146,,,,,,,,,,,,,,,,4797719.298245614,1505175.4385964915,3292543.859649123,,12287543.859649124,1981
7661063.829787234,4813475.1773049645,3308865.2482269504,1504609.929078014,2378439.716312057,2378439.716312057,,469148.93617021275,,,,,,,,,,,,,,,,4627943.262411348,1509361.7021276597,3118581.560283688,,12289007.092198582,1982
